appid,header_image,windows,mac,linux,metacritic_score,recommendations,developers,publishers,positive,negative,estimated_owners,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,pct_pos_total,num_reviews_total,pct_pos_recent,num_reviews_recent,release_year,final_name,final_price,on_steam,on_epic,gen_action,gen_adventure,gen_rpg,gen_simulation,gen_strategy,gen_sports_racing,gen_horror,gen_2d,gen_3d,gen_anime,gen_open_world,gen_sandbox,gen_rogue,gen_scifi,gen_survival,gen_indie,gen_puzzle,gen_arcade,gen_story,gen_fps,lang_english,lang_turkish,cat_singleplayer,cat_controller,cat_multiplayer,cat_coop,cat_online_coop,cat_pvp,cat_split_screen,cat_mmo,is_retro,is_mid_era,is_recent,dev_rockstar,dev_ubisoft,dev_valve,dev_bethesda,dev_ea,dev_square_enix,dev_capcom,dev_fromsoftware,dev_cdprojekt,dev_sony,norm_reviews
227580.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227580/header.jpg?t=1572970613,1,1,1,67.0,1736.0,['EightyEightGames'],['EightyEightGames'],2063.0,226.0,100000 - 200000,0.0,0.0,0.0,0.0,90.0,1735.0,-1.0,-1.0,2013.0,"10,000,000",4.99,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11729829156866992
1675830.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1675830/header.jpg?t=1739152122,1,0,0,84.0,2798.0,['sunset visitor 斜陽過客'],['Fellow Traveller'],2967.0,88.0,100000 - 200000,0.0,0.0,0.0,0.0,97.0,2940.0,96.0,341.0,2024.0,1000xRESIST,19.99,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1670561128379456
2845270.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2845270/header.jpg?t=1739200776,1,0,0,0.0,0.0,['100 Cozy Games'],['100 Cozy Games'],0.0,0.0,0 - 0,0.0,0.0,0.0,0.0,95.0,1537.0,96.0,64.0,2024.0,100 Aliens Cats,0.0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.10586790960613197
2667970.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2667970/header.jpg?t=1739200771,1,0,0,0.0,0.0,"['100 Cozy Games', 'Cats']",['100 Cozy Games'],0.0,0.0,0 - 0,0.0,0.0,0.0,0.0,97.0,7622.0,90.0,141.0,2023.0,100 Asian Cats,0.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25695257207222966
2743080.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2743080/header.jpg?t=1739735955,1,0,0,0.0,0.0,['100 Hidden Animals'],['100 Cozy Games'],0.0,0.0,0 - 0,0.0,0.0,0.0,0.0,97.0,3257.0,96.0,56.0,2024.0,100 Capitalist Cats,0.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.17671796842860113
2687190.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2687190/header.jpg?t=1739200770,1,0,0,0.0,0.0,['100 Hidden Animals'],['100 Cozy Games'],0.0,0.0,0 - 0,0.0,0.0,0.0,0.0,85.0,3398.0,93.0,59.0,2023.0,100 Christmas Cats,0.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.18071695031086552
2803000.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2803000/header.jpg?t=1739200773,1,0,0,0.0,0.0,['100 Cozy Games'],['100 Cozy Games'],0.0,0.0,0 - 0,0.0,0.0,0.0,0.0,95.0,1760.0,94.0,36.0,2024.0,100 Dino Cats,0.0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.118647862447996
1238280.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1238280/header.jpg?t=1726051403,1,1,0,0.0,0.0,['Peaksel'],['Peaksel'],749.0,271.0,100000 - 200000,0.0,0.0,0.0,0.0,73.0,1021.0,85.0,20.0,2020.0,100 Doors Game - Escape from School,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06728976976307646
2881230.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2881230/header.jpg?t=1739200778,1,0,0,0.0,0.0,['100 Cozy Games'],['100 Cozy Games'],0.0,0.0,0 - 0,0.0,0.0,0.0,0.0,97.0,1367.0,100.0,36.0,2024.0,100 Funny Cats,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09481202781324037
1473050.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1473050/header.jpg?t=1691604706,1,0,0,0.0,655.0,"['Anatoliy Loginovskikh', 'Аlexandr Telminov']",['Anatoliy Loginovskikh'],691.0,46.0,50000 - 100000,0.0,0.0,0.0,0.0,94.0,654.0,-1.0,-1.0,2020.0,100 hidden birds,1.99,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.025298567577644007
